start,end
70007,71584
944152,944573
965190,965718
974574,975864
1053976,1054550
1054980,1056115
1185141,1185863
1233267,1235040
1291609,1292024
1308719,1308971
1311378,1311676
1327762,1328895
1334463,1335313
1427786,1430254
1439786,1442881
1468529,1470162
1495816,1497847
1534071,1534684
1630300,1630604
1633119,1633354
1917192,1917295
2029265,2029761
2030281,2030757
2184697,2185394
2185008,2185394
2306764,2310212
2403123,2405435
2487717,2489377
2503626,2505529
2503984,2505529
2505212,2505529
2563272,2563828
2589413,2591467
2589426,2591467
3433810,3438620
3480586,3481112
3628602,3630126
3732761,3736200
3733078,3736200
3771522,3771644
3883740,3885428
6095442,6095623
6096755,6097356
6098573,6101179
6219406,6221298
6460145,6460943
6579583,6579754
6621636,6624029
6632921,6633561
6633076,6633561
6634087,6635594
6887724,6888200
7766490,7769705
7766521,7769705
7779644,7781431
7842754,7845176
7985053,7985504
8325389,8326041
8344012,8344164
8974443,8975091
8974703,8975091
9367574,9369531
9582500,9585172
9602290,9604948
9613082,9614876
9727045,9728924
9981298,9981765
9982700,9985497
10015831,10016020
10105743,10106582
10106582,10107373
10179955,10181238
10275502,10276398
10304646,10308596
10348732,10352735
10419748,10420510
10451400,10451997
10451594,10451997
10629986,10630757
11022653,11025491
11195022,11195980
11286130,11288433
11294882,11299573
11294889,11299573
11534539,11535123
11536685,11537550
11661272,11663326
11661304,11663326
11673850,11674353
11750103,11750768
11750191,11750768
11789445,11789584
11840222,11841206
11974807,11975536
12004926,12005930
12011564,12013507
12031807,12032044
12142530,12144206
12207019,12209219
12291123,12293703
12509023,12512046
12666734,12667075
12719690,12720945
12725995,12728759
12760950,12763698
12777598,12777905
12795995,12796627
12861778,12861908
12920412,12920750
13062205,13062877
13077551,13077883
13179131,13179458
13263110,13263434
13322263,13322597
13392501,13392628
13615910,13617956
13786526,13788080
13823183,13825078
15065645,15065752
15065796,15068151
15114634,15118042
15219392,15220477
15219742,15220477
15397412,15398126
15428723,15430338
15446588,15449241
15568176,15571732
15661721,15662032
15729189,15729928
15733933,15734768
15739405,15741391
15747631,15747981
15775030,15775219
15784660,15786588
15939426,15940455
16006345,16008806
16028118,16028844
16033657,16034049
16056915,16057307
16395139,16398144
16458889,16460077
16458995,16460077
16972445,16972963
17244242,17246006
17283078,17284232
17363754,17364003
17401437,17401698
17697379,17697868
17826518,17827062
18378325,18378482
18483314,18485973
18744928,18748865
19257520,19257983
19258829,19260127
19328642,19328927
19597108,19600970
19626400,19629819
19657128,19658451
19679367,19680965
20090691,20091910
20148400,20150380
20191403,20196049
20553962,20555019
20618567,20618902
20650690,20651510
21483385,21484899
21577647,21578409
21822214,21825224
22090031,22090806
22526395,22531153
22589378,22589620
22601740,22603594
22639406,22639677
22647782,22648107
22661385,22661636
23082484,23083688
23083363,23083688
23759572,23762058
23787375,23788231
23794731,23795538
23961876,23963461
24319567,24319746
24354487,24355317
24364370,24364481
24442225,24444183
24445243,24449625
24454096,24454823
24466088,24466337
24469184,24472975
24535244,24537019
24535276,24537019
24605746,24609327
24651611,24652627
24672285,24673280
24840936,24844320
25328923,25330444
25329014,25330444
25329135,25330444
25360704,25362360
25485794,25489292
25498465,25500208
25566991,25568885
25783788,25784449
25783849,25784449
25802116,25805274
25815717,25818220
25832025,25832937
26033855,26035003
26035346,26036463
26122576,26125554
26162106,26163961
26170715,26170872
26189547,26189883
26202541,26202963
26269613,26271106
26277292,26278807
26281122,26281521
26320301,26320522
26426457,26429727
26469130,26471305
26475147,26476641
26574200,26575024
26780755,26782103
26797843,26800658
26853842,26857603
26863958,26864455
26946180,26946870
26994469,26994611
27306254,27308635
27306382,27308635
27335465,27336399
27394790,27395813
27760580,27763115
27822328,27824442
27850445,27851675
27885450,27886674
27885921,27886674
27956198,27956479
27958837,27959151
27967199,27968092
28236455,28238099
28237796,28238099
28237977,28238099
28280801,28282490
28334969,28335964
28465848,28466767
28496548,28500363
28538006,28538988
28564833,28567412
28577635,28578544
28594116,28595448
28596460,28596665
28714772,28719352
28768951,28769774
29069293,29072572
29070614,29072572
29325660,29326799
31364053,31364935
31364192,31364935
31364220,31364935
31434198,31434677
31586978,31587685
31626979,31627612
32102672,32102862
32195194,32198284
32204797,32205386
32205247,32205386
32208081,32208681
32215896,32216191
32231195,32231603
32235304,32236169
32248600,32248855
32285715,32286164
32333043,32333625
32772886,32774969
32856037,32858874
32893861,32894645
33120181,33120530
33299045,33300718
34218760,34219130
34758151,34758511
34762054,34762326
34785574,34786363
34795214,34795746
35115258,35115858
35419676,35421943
35565662,35566778
35594675,35595327
36092521,36093931
36093385,36093931
36180257,36180848
36304016,36305356
36321126,36321346
37483610,37484376
37565060,37566856
37708365,37709718
37799858,37801132
37800202,37801132
37809072,37809453
38023627,38024819
39004054,39006058
39034495,39034614
39285757,39287561
39315690,39316528
39324733,39327352
39485793,39487137
39525797,39529868
39753354,39756768
39763741,39763913
39969567,39969955
40070281,40070511
40071532,40072647
40240446,40240920
40292668,40294179
40422100,40423321
40463588,40463714
40496058,40496342
40515665,40516037
40547459,40548166
40770827,40771602
40838522,40840451
41007544,41008713
41382680,41383589
42154865,42155819
42155595,42155819
42457072,42457349
42459925,42461229
42653521,42654189
42654027,42654189
42658907,42659250
42775393,42779490
42798224,42800826
42840052,42840177
42843231,42844990
42851812,42852476
43210083,43210877
43254190,43254357
43273381,43274001
43322721,43323107
43338719,43339568
43352771,43354465
43424431,43424861
43432798,43433189
43450479,43454052
43619857,43620220
43622002,43623665
43655765,43660411
43704369,43705517
43930182,43931158
43930201,43931158
43930220,43931158
43936764,43937239
43967681,43968021
43972538,43973368
43977410,43978294
43978006,43978294
43990447,43991167
43996159,43996527
43996178,43996527
44130755,44135139
44650774,44651722
44725402,44725590
44767178,44767766
44805677,44805989
44813771,44815584
45328263,45328709
45343701,45343972
45509214,45513381
45567019,45568176
45618140,45618892
45693904,45694435
45997798,46000978
46185532,46185961
46220219,46221255
46267608,46270784
46270784,46272539
46272539,46272801
46278281,46278472
46316583,46316775
46361783,46365017
46361845,46365017
46367868,46369217
46368387,46369217
46368797,46369217
46383931,46385198
46413574,46413844
46512493,46516215
46673455,46673593
46818813,46819412
47050173,47050750
47117933,47118317
47146156,47147481
47148796,47149726
47376744,47378838
47417274,47418051
47439622,47440690
48247542,48248637
50179575,50181299
50201177,50203771
50974269,50974633
51147570,51148085
51147770,51148085
51271321,51273446
51787788,51788397
52086719,52090715
52086757,52090715
52346220,52346633
52416689,52420835
52608424,52609050
52885893,52887052
52892956,52894997
52993276,52994231
53050703,53051697
53213594,53214196
53466661,53467487
53909934,53911085
53909998,53911085
53958279,53960473
53967938,53968167
54096472,54096843
54218248,54218382
54225381,54225488
54599414,54601412
54609111,54610328
54634728,54639191
54706536,54709075
54741512,54742656
54841872,54842251
54992102,54992287
55052790,55056188
55063583,55064851
56917715,56918222
59512438,59515794
59762583,59762726
59847184,59848515
59859044,59860327
59872964,59876321
62160934,62163914
62161053,62163914
62211371,62212327
62450980,62451803
62604816,62606312
62864158,62865515
63324494,63325127
63428800,63429125
63437019,63438552
63555514,63557246
63572515,63572692
63659674,63660244
64142657,64143384
64178854,64181497
64244132,64246273
64244158,64246273
64267207,64267367
64629480,64632742
64658872,64663836
64678309,64679755
64691560,64693052
64830984,64833231
65401879,65406132
65413024,65415870
65427802,65428008
65431918,65436006
65570801,65572448
65601959,65605236
65633168,65635427
65637014,65641558
66372677,66374573
66690374,66690529
66777453,66779046
66946309,66948244
66984899,66988618
66986472,66988618
67259127,67259978
67320443,67321888
67328383,67329728
67395579,67396899
67395598,67396899
67396088,67396899
67687696,67688333
67687773,67688333
69873472,69875003
70250804,70253051
70439126,70439850
74205373,74208701
74205831,74208701
74464741,74464921
74543981,74544427
74764112,74766676
75160894,75161532
75762762,75763678
75794649,75795085
75912886,75913241
76576854,76577208
76576868,76577208
76634190,76634602
77063012,77067545
77063205,77067545
77293959,77297727
77558669,77559965
77868441,77868636
77875063,77879539
77942828,77943894
78016035,78017963
78016246,78017963
78135742,78138443
78536429,78540700
78536686,78540700
78641808,78646144
78654278,78655208
78662877,78664072
78663810,78664072
81979959,81980838
81990401,81993931
81991144,81993931
84204489,84205436
84235304,84238497
84349773,84350797
84410998,84412545
84414867,84415017
84497469,84498351
84553123,84555978
84565888,84567378
85132997,85133137
85583041,85583949
86455526,86456552
86500044,86500258
86580344,86580753
86743234,86748183
87097938,87098444
87344795,87348922
88805670,88806016
88822002,88824385
88833447,88836254
89385468,89388159
89593042,89597860
89714981,89719532
89935644,89936610
90005247,90006444
91524434,91525763
92014273,92014420
92042979,92045659
92063285,92063537
92177545,92177897
92184329,92184722
92245673,92245812
93137026,93139075
93212260,93214965
93278476,93278729
93551124,93554660
93552415,93554660
94478549,94478722
94517128,94518662
94837870,94840036
94894921,94895245
95244249,95244650
95246869,95247224
96813404,96815048
98760130,98760499
99307009,99309583
99694061,99694534
99874809,99875255
99921650,99924019
100082208,100083376
100143208,100144142
100146671,100148325
100148655,100150495
100148819,100150495
100291503,100292768
100484465,100485369
100494929,100496048
100518279,100520276
100540120,100542020
100738282,100739044
100896341,100896670
101240132,101240295
103575344,103575539
103621698,103621892
103660481,103660675
103754620,103754813
107057842,107059293
107480839,107484922
108470637,108471919
108635149,108639321
108700019,108702927
108808876,108809522
108898100,108898764
108901944,108903233
109094498,109096933
109094578,109096933
109189681,109191470
109198074,109198673
109202953,109206780
109203011,109206780
109237887,109238181
109274048,109275750
109479547,109482133
109492599,109492733
109495774,109500434
109495866,109500434
109496258,109500434
109544377,109544638
109631151,109632050
109661253,109661699
109665030,109665496
109674835,109675285
109693294,109693744
109717425,109718267
110021679,110023741
110053911,110054640
110113058,110113946
110198443,110202201
110232308,110232596
110232903,110234043
110232971,110234043
110346353,110346676
110456350,110457357
110899194,110899921
111184309,111185103
111312390,111314595
111351326,111353012
111460993,111462772
111478122,111478511
111760847,111761124
111766898,111767999
112457411,112461163
112520508,112521287
112670131,112671615
112700506,112700738
112726639,112727234
112726679,112727234
113112759,113114875
113590657,113594559
113682260,113685922
113684013,113685922
113912156,113914079
113912190,113914079
113968647,113970196
113973511,113977868
113981768,113982252
114995018,114995369
116067107,116070053
116133364,116138148
116393722,116395284
116404443,116404773
116768782,116769228
116986966,116990352
117624043,117628388
117936886,117938557
117957195,117959002
119393839,119394129
119422619,119423033
119514644,119515053
119744039,119744214
120466220,120469675
120793819,120794850
120840592,120842228
120890314,120890529
144593436,144593651
145111596,145112695
145670039,145670649
145738492,145739287
145824546,145825922
145827004,145828836
145840164,145841070
145842419,145844401
145848478,145848953
145978446,145978847
146994574,146996197
147266086,147267517
147286499,147287732
147295508,147295761
147614615,147615901
147624958,147626215
148749497,148752414
148932291,148932727
148972591,148974604
148992259,148993881
149031984,149033015
149032088,149033015
149554737,149556360
149584391,149584606
149791516,149791629
149900472,149900794
150144795,150145328
150144920,150145328
150159522,150160064
150264658,150265077
150286953,150287092
150308227,150308978
150344546,150346135
150352978,150353227
150441022,150441957
150471970,150476565
150473333,150476565
150507063,150507601
150513466,150513788
150560195,150560932
150912481,150913291
150944919,150945107
150945161,150945319
150949277,150949524
150949524,150951089
150964363,150964736
150988185,150988340
150995321,150995633
151034233,151035712
151037661,151038567
151043433,151043726
151046686,151047719
151050457,151051419
151067496,151069543
151124314,151125541
151159251,151159748
151169084,151170295
151247864,151249530
151262300,151264027
151267342,151267459
151291208,151292175
151401828,151401936
151537345,151538691
151581706,151583582
151694416,151699079
151771218,151771329
152511890,152512176
152515682,152516007
152664437,152664658
152676347,152676568
152687175,152687396
152699221,152699441
152720273,152720469
152761327,152762055
152776727,152777023
152787655,152788425
152812802,152813107
152827804,152828096
152843762,152843982
152860984,152861251
152884772,152885046
152911554,152911885
152948880,152949254
152972129,152972573
152985499,152985813
153003529,153003855
153032614,153032899
153205003,153205119
153218494,153219309
153261887,153262123
153360837,153361022
153419308,153423221
153631840,153632038
153645074,153646305
153645268,153646305
153661300,153661851
153693413,153693991
153759612,153760389
153764733,153765062
153773269,153774807
