Seqid,Source,Type,Start,End,Score,Strand,Phase
NC_000001.11,BestRefSeq,CDS,65565,65573,,+,0
NC_000001.11,BestRefSeq,CDS,69037,70008,,+,0
NC_000001.11,BestRefSeq,CDS,924432,924948,,+,0
NC_000001.11,BestRefSeq,CDS,925922,926013,,+,2
NC_000001.11,BestRefSeq,CDS,930155,930336,,+,0
NC_000001.11,BestRefSeq,CDS,931039,931089,,+,1
NC_000001.11,BestRefSeq,CDS,935772,935896,,+,1
NC_000001.11,BestRefSeq,CDS,939040,939129,,+,2
NC_000001.11,BestRefSeq,CDS,939272,939412,,+,2
NC_000001.11,BestRefSeq,CDS,941144,941306,,+,2
NC_000001.11,BestRefSeq,CDS,942136,942251,,+,1
NC_000001.11,BestRefSeq,CDS,942410,942488,,+,2
NC_000001.11,BestRefSeq,CDS,942559,943058,,+,1
NC_000001.11,BestRefSeq,CDS,943253,943377,,+,2
NC_000001.11,BestRefSeq,CDS,943698,943808,,+,0
NC_000001.11,BestRefSeq,CDS,943908,944153,,+,0
NC_000001.11,BestRefSeq,CDS,924432,924948,,+,0
NC_000001.11,BestRefSeq,CDS,925922,926013,,+,2
NC_000001.11,BestRefSeq,CDS,930155,930336,,+,0
NC_000001.11,BestRefSeq,CDS,931039,931089,,+,1
NC_000001.11,BestRefSeq,CDS,935772,935896,,+,1
NC_000001.11,BestRefSeq,CDS,939040,939129,,+,2
NC_000001.11,BestRefSeq,CDS,939275,939412,,+,2
NC_000001.11,BestRefSeq,CDS,941144,941306,,+,2
NC_000001.11,BestRefSeq,CDS,942136,942251,,+,1
NC_000001.11,BestRefSeq,CDS,942410,942488,,+,2
NC_000001.11,BestRefSeq,CDS,942559,943058,,+,1
NC_000001.11,BestRefSeq,CDS,943253,943377,,+,2
NC_000001.11,BestRefSeq,CDS,943698,943808,,+,0
NC_000001.11,BestRefSeq,CDS,943908,944153,,+,0
NC_000001.11,BestRefSeq,CDS,925942,926013,,+,0
NC_000001.11,BestRefSeq,CDS,930155,930336,,+,0
NC_000001.11,BestRefSeq,CDS,931039,931089,,+,1
NC_000001.11,BestRefSeq,CDS,935772,935896,,+,1
NC_000001.11,BestRefSeq,CDS,939040,939129,,+,2
NC_000001.11,BestRefSeq,CDS,939275,939460,,+,2
NC_000001.11,BestRefSeq,CDS,941144,941306,,+,2
NC_000001.11,BestRefSeq,CDS,942136,942251,,+,1
NC_000001.11,BestRefSeq,CDS,942410,942488,,+,2
NC_000001.11,BestRefSeq,CDS,942559,943058,,+,1
NC_000001.11,BestRefSeq,CDS,943253,943377,,+,2
