Seqid,Source,Type,Start,End,Score,Strand,Phase
NC_000001.11,BestRefSeq,exon,11874,12227,,+,
NC_000001.11,BestRefSeq,exon,12613,12721,,+,
NC_000001.11,BestRefSeq,exon,13221,14409,,+,
NC_000001.11,BestRefSeq,exon,30366,30503,,+,
NC_000001.11,BestRefSeq,exon,30438,30458,,+,
NC_000001.11,BestRefSeq,exon,65419,65433,,+,
NC_000001.11,BestRefSeq,exon,65520,65573,,+,
NC_000001.11,BestRefSeq,exon,69037,71585,,+,
NC_000001.11,BestRefSeq,exon,182388,182746,,+,
NC_000001.11,BestRefSeq,exon,183132,183240,,+,
NC_000001.11,BestRefSeq,exon,183740,184878,,+,
NC_000001.11,BestRefSeq,exon,817371,818202,,+,
NC_000001.11,BestRefSeq,exon,818723,819834,,+,
NC_000001.11,BestRefSeq,exon,827591,827775,,+,
NC_000001.11,BestRefSeq,exon,829003,829104,,+,
NC_000001.11,BestRefSeq,exon,847654,847806,,+,
NC_000001.11,BestRefSeq,exon,851927,852110,,+,
NC_000001.11,BestRefSeq,exon,852671,852766,,+,
NC_000001.11,BestRefSeq,exon,853391,859446,,+,
NC_000001.11,BestRefSeq,exon,827591,827775,,+,
NC_000001.11,BestRefSeq,exon,829003,829104,,+,
NC_000001.11,BestRefSeq,exon,851927,852110,,+,
NC_000001.11,BestRefSeq,exon,852671,852766,,+,
NC_000001.11,BestRefSeq,exon,853391,859446,,+,
NC_000001.11,BestRefSeq,exon,827591,827775,,+,
NC_000001.11,BestRefSeq,exon,829003,829104,,+,
NC_000001.11,BestRefSeq,exon,851927,852110,,+,
NC_000001.11,BestRefSeq,exon,853391,859446,,+,
NC_000001.11,BestRefSeq,exon,827591,827775,,+,
NC_000001.11,BestRefSeq,exon,829003,829104,,+,
NC_000001.11,BestRefSeq,exon,852671,852766,,+,
NC_000001.11,BestRefSeq,exon,853391,859446,,+,
NC_000001.11,BestRefSeq,exon,827591,827775,,+,
NC_000001.11,BestRefSeq,exon,829003,829104,,+,
NC_000001.11,BestRefSeq,exon,841200,843604,,+,
